new_message1,label
Refactoring,0
fix Wox handled exception at launch # 221,0
<iden> top used <iden> .,0
Change icon for thirdpartyplugin indicator .,0
Revert `` Add crashreproter `` This reverts commit ad81dfa001493272d1ea7e4a19ae74ca65c84622 .,0
Add crashreproter,0
Add new <iden> window,0
Add About Page .,0
Remove unnessary codes .,0
fix # <version> ' t open url with port,0
fix # 185 . <method_name> ing index cache on startup .,0
make <iden> <iden> name readable .,0
fix # 151 .,0
Fix a crash issues when inputing after wox start .,0
fix # <version> the weight of user selected items .,0
Add <iden> check .,0
Update wpm to use the new api,0
Deploy nuget only when commits on <iden> <iden> .,0
update ci scripts,0
update ci scripts,0
update CI scripts,0
update ci scripts .,0
Update CI scripts : cry :,0
Update CI scripts : cry :,0
Update CI scripts,0
Update CI scripts,0
Update CI build script .,0
Update CI build script,0
Change <iden> to <iden> for the language selector,0
Added <iden> translations to Wox,0
fix disable plugin not working,0
fix < <method_name> > has no 0 <iden> constructor,0
setting window : plugin,0
set port number if not zero,0
update plugin program translation,0
readme . md <iden> and suggestions on the redaction,0
Auto completion for the <iden> plugin,0
Fix ShellExecCmdLine fucntion . Using <iden> : : <iden> . <iden> . <iden> . Start to run program without working directory specifying .,0
Update < <iden> > . md,0
add missing sleep images and translations,0
Ajust maxium result item UI,0
misc,0
Add option to put <iden> to sleep,0
Make the <iden> of <iden> show at a time customizable,0
Update < <iden> > . md,0
Update < <iden> > . md,0
Support for assigning any key as a <iden> ; minor refactoring,0
Google translated translations,0
Support editing,0
Allow disabling of default <iden> <iden>,0
Fix <iden>,0
fix proj file,0
Add max depth and <iden> per <iden> <iden>,0
fix # 249 Characters not being properly escaped in Python plugins,0
Remove context shell load codes and change image cache path,0
Update < <iden> > . md,0
fix # 249 , <iden> escapes before sending json rpc request to plugin [ WIP ],0
Add translation for < CMD > plugin,0
Fix UI issues when using web <iden> <iden> with <iden>,0
Using new thread to check upgrade,0
fix # 256,0
Fix # 255 , can ' t delete items in folder plugin,0
Add translation for icon tray .,0
adding fixed height for caculating windows top,0
fix # 251 add auto center Wox option,0
fix # 252 web <iden> items lost after restart Wox,0
Implement ShellContextMenu [ WIP ],0
Add shell context [ WIP ],0
Add log for storage crashing,0
Add <iden>,0
Update query <iden> language,0
Change project generate sequence,0
Update <iden>,0
<method_name> < <method_name> <iden> > to < Wox > ( Ctrl + Up and Ctrl + Down ),0
Add item number [ WIP ],0
Add a new theme,0
Add <iden> command as <iden> serivce will prevent move / remove wox <iden> .,0
Improve < <iden> > < <iden> > user experience,0
Improve setting window performance ( theme ) .,0
fix a < <iden> > query issue,0
Add < <iden> > <iden> & lazy load <iden> menus,0
fix # 246 prompt <iden> wox after uninstall <iden>,0
Add title translations,0
<method_name> < <iden> > title translations,0
Allow searches in <iden> menu,0
fix regressive issues,0
<method_name> top most function .,0
Add IExclusivePlugin,0
Add < <iden> > <iden> [ WIP ],0
Add init time and query time to setting view,0
Improve <iden> <iden> ue,0
Add drop event .,0
Update < <iden> > . md,0
Merge,0
Add hotkey for navigating result items .,0
Add drop event [ WIP ],0
Add <iden> dialog,0
<iden> <iden> feed url,0
Forgot to remove some lines . No longer opening <iden> with admin rights .,0
Added open in <iden> to the <iden> plugin .,0
<iden> autohotkey and add <iden> command args,0
Add autohotkey,0
proj file changes .,0
Implement < <iden> > for < CMD > and <iden> <iden>,0
Change update logic,0
Add clean script to < Wox > . <iden>,0
Move web <iden> <iden> to its own project,0
API changes,0
Add < > <iden> < > <iden>,0
some API changes for < <method_name> > class and renames .,0
Remove all obsolete methods,0
Fix < CMD > plugin for new <iden> panel,0
Misc,0
Fix web search plugin for new <iden> panel,0
Enhance <iden> panel <iden> The last commit f132cb54baa000a245feb5da87149960f6dbd9f5 only fix UI <iden> for different icon . This commit also fix the commit for same icon . e . g . in web <iden> plugin , although the title is different , but the icon is not changes . part of # 350,0
Fix clearance of old <iden> part of # 350,0
Better <iden> <version> exception for fatal / error log when debugging <version> to debug output for warn / debug / info log when debugging <version> of # 355,0
Fix exclusive for <iden> <iden>,0
Misc,0
Upgrade to . net <version>,0
tmp,0
Fix UI flickering See # 350,0
Better crash report,0
Fix ui for action keywords,0
Add more comments See # 352,0
Improve UI for <iden> <iden> <iden> See # 352,0
Misc,0
Fix <iden> <iden> for multiple action keyword <version> , part of # 352 2 . <iden> . Form - > WPF <version>,0
Fix < <iden> > for <iden> action keywords <version> , part of # 352 <version>,0
Misc <version> <version> progress bar : progress bar <iden> not be loaded when only white <iden> typed,0
Enable <iden> <iden> <iden> See issue # 352,0
Better name <iden> . < <method_name> > - > < <method_name> > . <method_name> <iden> . <method_name> <method_name> - > < <method_name> > . <method_name>,0
Replace <method_name> with Lambda <version> <version> # 361,0
Fix # 357 Fix bug introduced since a5abe9234faafcd170f9468a70f42bf60eda0f0d,0
Fix # 362,0
Remove unused reference,0
bat - > ps1 Fix bug for <link>. com / Wox - launcher / Wox / commit / 8fe993ddd5f1590b84725314eff0dff88953f56e,0
Only deploy to NuGet when API changed ( interface or implementation ) , see # 360,0
Only tested build should be deployed,0
Better instruction,0
Change nuget api keys,0
Update instruction for ci builds,0
Fix continue integration in AppVeyor,0
Fix typo,0
Appveyor is case sensitive now,0
Enable PreLoadImages Fix bug introduced in <link>. com / Wox - launcher / Wox / commit / cf87f68b42e00f087267cdeaf2fcb0d707e684c4,0
<iden> query test <iden> query is <iden> <iden> with GUI , can ' t be <iden> .,0
Misc,0
Fix System . NullReferenceException for # 356,0
Update build script for new nuget retore,0
Add simple usage,0
Update installation instruction,0
Change copyright,0
Ignore < > python < > in < > github < > language < > statistics,0
Update < <iden> > . md,0
Update < <iden> > . md,0
Refactoring < <method_name> > <iden>,0
Misc,0
Refactoring <iden> query,0
Misc,0
Refactoring <iden> . <iden>,0
Remove <iden>,0
Refactor <method_name> g GetPlug <method_name> s < T > ( ),0
Refactoring <iden>,0
Misc,0
Better log info,0
Remove LoadInterfacesFromAppDoma <method_name> Much faster . ApplyPlug <method_name> Languages is 10 times faster now . 7ms vs 100ms .,0
Fix < <iden> > <version> duplication for loading <iden> . <version> null reference when <iden> is not loaded . <version> .,0
Add startup time measurement,0
Fix bug for CMD This bug is introduced since commit : 73dadde5f077896129aa574d028c0343485f3ddc,0
Misc,0
Replace all <method_name> with <method_name>,0
Don ' t sort <iden> every time , sort it when set it,0
Rearrange code Fields - > Properties - > Init method - > Query methods - > Is methods - > Get Methods,0
Refactoring <method_name> and <method_name> <iden> <iden> = <iden> with <iden> <iden> * Non system <iden> = exclusive <iden> + <iden> <iden> <iden>,0
Refactoring <method_name> <method_name> half lines of code : ),0
Fix <iden> . ArgumentException Fix <iden> . ArgumentException ( `` Illegal characters in path `` ) when parsing path <iden>,0
Use Nlog . <iden> from Nuget,0
Move NLog . xsd , let it handled by nuget,0
Use consistent name convention,0
Remove sensitive information,0
Migrate < > MSBuild < > - < > Integrated < > solutions < > to < > use < > Automatic < > <iden> < > Restore < > http < > : < > / < > / < > docs < > . < > nuget < > . < > org < > / < > consume < > / < > <iden> < > - < > <iden> < > / < > migrating < > - < > to < > - < > automatic < > - < > <iden> < > - < > <iden>,0
Use NuGet for <iden>,0
Remove PluginDebugger,0
Fix Debug output < <iden> > is useless , bacuase the <iden> statement is always executed before the actual code .,0
Refactoring <method_name>,0
Better comment,0
Optimize using directives,0
Refactoring <method_name> In < <iden> . xaml > . cs , the reference of origin <method_name> , last <method_name> and tb <method_name> . Text are same , so remove origin <method_name> is fine .,0
Remove unnecessary thread switch,0
Remove unnecessary decoration,0
Remove unused reference <iden> . xaml also removed because . net <version> doesn ' t has this dll , and it resolve the issue when using code metrics,0
Issue : If Wox was set to ignore hotkeys on full - screen it would fail . Cause : Compared <iden> with null . <iden> is never null .,0
Reflected functionality changes from the last commit on the whole project .,0
~ Changed how the fullscreen detection work . Checking by <iden> was a stupid idea . It will now check for the <iden> to fill the whole screen area .,0
